participant_id,study_id,session_id,trial_number,condition,category,image_name,word,click_order,rt,id,typicality
participant12,67cfb8a562de5c8e881149b4,67cfc1b860a47e24a319df2c,0,familiar_word_condition,flowers,flower_round_1_1.png,flowers,1,16751,1,1
participant12,67cfb8a562de5c8e881149b4,67cfc1b860a47e24a319df2c,0,familiar_word_condition,flowers,flower_trumpet_2_2.png,flowers,2,21006,2,2
participant12,67cfb8a562de5c8e881149b4,67cfc1b860a47e24a319df2c,1,familiar_word_condition,shells,shell_spiral_3_1.png,shells,1,8277,3,1
participant12,67cfb8a562de5c8e881149b4,67cfc1b860a47e24a319df2c,1,familiar_word_condition,shells,shell_stingray_3_2.png,shells,2,11981,3,2
participant12,67cfb8a562de5c8e881149b4,67cfc1b860a47e24a319df2c,2,familiar_word_condition,leaves,leaf_oak_1_1.png,leaves,1,9060,1,1
participant12,67cfb8a562de5c8e881149b4,67cfc1b860a47e24a319df2c,2,familiar_word_condition,leaves,leaf_droplet_2_1.png,leaves,2,10596,2,1
participant12,67cfb8a562de5c8e881149b4,67cfc1b860a47e24a319df2c,3,familiar_word_condition,mushrooms,mushroom_toadstool_1_1.png,mushrooms,1,9776,1,1
participant12,67cfb8a562de5c8e881149b4,67cfc1b860a47e24a319df2c,3,familiar_word_condition,mushrooms,mushroom_toadstool_2_1.png,mushrooms,2,11336,2,1
participant125,67cfb8a562de5c8e881149b4,67cfc74848de2b87ec498baf,0,familiar_word_condition,leaves,leaf_bean_2_2.png,leaves,1,5351,2,2
participant125,67cfb8a562de5c8e881149b4,67cfc74848de2b87ec498baf,0,familiar_word_condition,leaves,leaf_oak_1_1.png,leaves,2,7040,1,1
participant125,67cfb8a562de5c8e881149b4,67cfc74848de2b87ec498baf,1,familiar_word_condition,shells,shell_stingray_2_2.png,shells,1,4509,2,2
participant125,67cfb8a562de5c8e881149b4,67cfc74848de2b87ec498baf,1,familiar_word_condition,shells,shell_spiral_2_1.png,shells,2,6859,2,1
participant125,67cfb8a562de5c8e881149b4,67cfc74848de2b87ec498baf,2,familiar_word_condition,flowers,flower_iris_1_2.png,flowers,1,7385,1,2
participant125,67cfb8a562de5c8e881149b4,67cfc74848de2b87ec498baf,2,familiar_word_condition,flowers,flower_iris_3_2.png,flowers,2,8796,3,2
participant125,67cfb8a562de5c8e881149b4,67cfc74848de2b87ec498baf,3,familiar_word_condition,mushrooms,mushroom_disc_3_2.png,mushrooms,1,4272,3,2
participant125,67cfb8a562de5c8e881149b4,67cfc74848de2b87ec498baf,3,familiar_word_condition,mushrooms,mushroom_bell_3_2.png,mushrooms,2,5532,3,2
participant156,67cfb8a562de5c8e881149b4,67cfc1acc53fe0a4499237ed,0,familiar_word_condition,leaves,leaf_droplet_3_1.png,leaves,1,4053,3,1
participant156,67cfb8a562de5c8e881149b4,67cfc1acc53fe0a4499237ed,0,familiar_word_condition,leaves,leaf_bean_2_2.png,leaves,2,5209,2,2
participant156,67cfb8a562de5c8e881149b4,67cfc1acc53fe0a4499237ed,1,familiar_word_condition,flowers,flower_round_1_1.png,flowers,1,4143,1,1
participant156,67cfb8a562de5c8e881149b4,67cfc1acc53fe0a4499237ed,1,familiar_word_condition,flowers,flower_star_1_1.png,flowers,2,4872,1,1
participant156,67cfb8a562de5c8e881149b4,67cfc1acc53fe0a4499237ed,2,familiar_word_condition,shells,shell_spiral_3_1.png,shells,1,3049,3,1
participant156,67cfb8a562de5c8e881149b4,67cfc1acc53fe0a4499237ed,2,familiar_word_condition,shells,shell_stingray_1_2.png,shells,2,3857,1,2
