study_id,session_id,trial_number,condition,category,image_name,word,click_order,rt,id,typicality,participant_id
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,0,familiar_word_condition,cups,cup_teacup_1_1.png,cups,1,8468,1,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,0,familiar_word_condition,cups,cup_teacup_2_1.png,cups,2,9342,2,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,1,familiar_word_condition,spoons,spoon_teaspoon_2_1.png,spoons,1,2863,2,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,1,familiar_word_condition,spoons,spoon_teaspoon_3_1.png,spoons,2,4357,3,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,2,familiar_word_condition,shells,shell_fan_3_1.png,shells,1,3719,3,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,2,familiar_word_condition,shells,shell_fan_1_1.png,shells,2,4612,1,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,3,familiar_word_condition,mushrooms,mushroom_enoki_2_1.png,mushrooms,1,4826,2,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,3,familiar_word_condition,mushrooms,mushroom_enoki_1_1.png,mushrooms,2,5445,1,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,4,familiar_word_condition,leaves,leaf_oak_1_1.png,leaves,1,2345,1,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,4,familiar_word_condition,leaves,leaf_oak_3_1.png,leaves,2,2910,3,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,5,familiar_word_condition,flowers,flower_star_3_1.png,flowers,1,2283,3,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,5,familiar_word_condition,flowers,flower_round_3_1.png,flowers,2,2734,3,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,6,familiar_word_condition,shoes,shoe_loafer_3_1.png,shoes,1,2404,3,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,6,familiar_word_condition,shoes,shoe_loafer_2_1.png,shoes,2,3228,2,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,7,familiar_word_condition,hats,hat_sun_1_1.png,hats,1,5052,1,1,89
borrowing_adult_artifacts,6969797202bb5e770c5e5ab8,7,familiar_word_condition,hats,hat_sun_3_1.png,hats,2,6189,3,1,89
borrowing_adult_artifacts,69697bddb224d44247664e9f,0,novel_word_condition,mushrooms,mushroom_enoki_1_1.png,tinches,1,46839,1,1,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,0,novel_word_condition,mushrooms,mushroom_enoki_2_1.png,tinches,2,49918,2,1,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,1,novel_word_condition,cups,cup_sherry_2_2.png,nefts,1,33680,2,2,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,1,novel_word_condition,cups,cup_sherry_1_2.png,nefts,2,35320,1,2,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,2,novel_word_condition,spoons,spoon_soup_2_1.png,palts,1,29026,2,1,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,2,novel_word_condition,spoons,spoon_soup_3_1.png,palts,2,30281,3,1,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,3,novel_word_condition,hats,hat_jester_1_2.png,leams,1,32331,1,2,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,3,novel_word_condition,hats,hat_jester_2_2.png,leams,2,33172,2,2,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,4,novel_word_condition,shells,shell_spiral_3_1.png,bines,1,36049,3,1,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,4,novel_word_condition,shells,shell_spiral_2_1.png,bines,2,36881,2,1,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,5,novel_word_condition,shoes,shoe_elf_3_2.png,serns,1,21341,3,2,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,5,novel_word_condition,shoes,shoe_elf_2_2.png,serns,2,22573,2,2,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,6,novel_word_condition,leaves,leaf_heart_2_2.png,datches,1,18915,2,2,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,6,novel_word_condition,leaves,leaf_heart_3_2.png,datches,2,20140,3,2,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,7,novel_word_condition,flowers,flower_trumpet_3_2.png,gades,1,18425,3,2,60
borrowing_adult_artifacts,69697bddb224d44247664e9f,7,novel_word_condition,flowers,flower_trumpet_2_2.png,gades,2,20393,2,2,60
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,0,familiar_word_condition,spoons,spoon_teaspoon_2_1.png,spoons,1,5518,2,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,0,familiar_word_condition,spoons,spoon_teaspoon_1_1.png,spoons,2,15060,1,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,1,familiar_word_condition,cups,cup_teacup_1_1.png,cups,1,6275,1,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,1,familiar_word_condition,cups,cup_teacup_3_1.png,cups,2,24921,3,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,2,familiar_word_condition,shoes,shoe_sneaker_1_1.png,shoes,1,11987,1,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,2,familiar_word_condition,shoes,shoe_sneaker_2_1.png,shoes,2,12625,2,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,3,familiar_word_condition,shells,shell_urn_1_2.png,shells,1,10062,1,2,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,3,familiar_word_condition,shells,shell_fan_2_1.png,shells,2,12299,2,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,4,familiar_word_condition,mushrooms,mushroom_disc_2_2.png,mushrooms,1,7969,2,2,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,4,familiar_word_condition,mushrooms,mushroom_disc_1_2.png,mushrooms,2,12667,1,2,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,5,familiar_word_condition,hats,hat_ballcap_1_1.png,hats,1,7051,1,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,5,familiar_word_condition,hats,hat_sun_1_1.png,hats,2,15041,1,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,6,familiar_word_condition,leaves,leaf_droplet_2_1.png,leaves,1,6832,2,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,6,familiar_word_condition,leaves,leaf_droplet_3_1.png,leaves,2,7966,3,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,7,familiar_word_condition,flowers,flower_iris_2_2.png,flowers,1,10233,2,2,26
