participant_id,study_id,participant_age,session_date,session_time,trial_number,condition,category,image_name,image_location,word,click_order,rt,id,typicality
8,borrowing_kids_pilot,4,07/14/2025,11:11:43,0,novel_word_condition,apples,apple_apple_2_0.png,5,apples,1,3942,2,0
8,borrowing_kids_pilot,4,07/14/2025,11:11:43,0,novel_word_condition,apples,apple_apple_6_0.png,2,apples,2,5009,6,0
8,borrowing_kids_pilot,4,07/14/2025,11:11:43,1,novel_word_condition,carrots,carrot_carrot_3_0.png,3,carrots,1,4379,3,0
8,borrowing_kids_pilot,4,07/14/2025,11:11:43,1,novel_word_condition,carrots,carrot_carrot_2_0.png,7,carrots,2,5742,2,0
8,borrowing_kids_pilot,4,07/14/2025,11:11:43,2,novel_word_condition,shells,shell_stingray_1_2.png,6,tinches,1,9813,1,2
8,borrowing_kids_pilot,4,07/14/2025,11:11:43,2,novel_word_condition,shells,shell_stingray_3_2.png,1,tinches,2,11666,3,2
8,borrowing_kids_pilot,4,07/14/2025,11:11:43,3,novel_word_condition,mushrooms,mushroom_enoki_3_1.png,6,palts,1,5381,3,1
8,borrowing_kids_pilot,4,07/14/2025,11:11:43,3,novel_word_condition,mushrooms,mushroom_enoki_2_1.png,4,palts,2,7365,2,1
8,borrowing_kids_pilot,4,07/14/2025,11:11:43,4,novel_word_condition,flowers,flower_trumpet_2_2.png,11,nefts,1,4014,2,2
8,borrowing_kids_pilot,4,07/14/2025,11:11:43,4,novel_word_condition,flowers,flower_trumpet_3_2.png,2,nefts,2,5397,3,2
8,borrowing_kids_pilot,4,07/14/2025,11:11:43,5,novel_word_condition,leaves,leaf_bean_3_2.png,6,bines,1,4616,3,2
8,borrowing_kids_pilot,4,07/14/2025,11:11:43,5,novel_word_condition,leaves,leaf_bean_1_2.png,11,bines,2,6448,1,2
11,borrowing_kids_pilot,5,07/14/2025,15:38:18,0,familiar_word_condition,apples,apple_apple_2_0.png,1,apples,1,5816,2,0
11,borrowing_kids_pilot,5,07/14/2025,15:38:18,0,familiar_word_condition,apples,apple_apple_6_0.png,0,apples,2,6862,6,0
